address,name,kind,confidence,notes
0x200040,rom_entry,function,confirmed,Entry point stored in the cartridge header
0x20009C,bios_resume_jump,function,probable,Direct jump to BIOS address 0xFF1800
0x2000A0,vblank_handler,function,confirmed,Installed in the Vertical_Blanking_Int vector at RAM 0x6FCC
0x20010D,wait_for_counter_400A,function,probable,Wait loop involving RAM byte 0x400A
0x200124,engine_task_init,function,confirmed,Initializes engine subsystems then becomes the per-frame engine task
0x20018D,vblank_frame_update_callback,function,probable,Optional VBlank callback that updates scroll and graphics state
0x2001FF,check_soft_reset_chord,function,confirmed,Restarts through the cartridge entry point when A B and Option are held together
0x20024E,initial_ram_table,data,probable,Copied to RAM at 0x6FB8 during startup
0x237706,initialize_task_scheduler,function,confirmed,Initializes the fixed-size task pool and installs the first task
0x23773F,run_task_scheduler,function,confirmed,Calls each task function through the linked task list forever
0x237752,allocate_task,function,confirmed,Removes a task node from the free list and links it after the current task
0x237775,link_task_after_current,function,probable,Initializes and links a task node after the current XIZ task
0x2377A5,register_static_task,function,probable,Links a caller-supplied task node and marks it as statically allocated
0x23AE72,frontend_manager_task_init,function,probable,Drives boot presentation attract flow menus and task launches
0x23BD6F,update_pause_menu,function,probable,Handles Option presses and dispatches the active pause-menu state
0x23BFE2,upload_sprite_state_to_vram,function,probable,Copies cached sprite attributes and optional palette numbers into K2GE VRAM
0x23C365,poll_controller_state,function,confirmed,Reads Controller_Status and updates current pressed and repeat state at 0x4D40
0x23C388,update_button_state,function,probable,Updates one six-byte current pressed and key-repeat record
0x23C572,bios_com_on_rts,function,probable,Invokes BIOS vector 0x15 VEC_COMONRTS when BIOS services are available
0x23C583,bios_com_off_rts,function,probable,Invokes BIOS vector 0x16 VEC_COMOFFRTS when BIOS services are available
0x23E17D,upload_palettes_if_dirty,function,probable,Uploads cached background and palette state to K2GE registers when marked dirty
0x23E86A,upload_window_registers,function,probable,Copies cached window coordinates into K2GE window registers
0x291494,velocity_from_angle_and_speed,function,confirmed,Uses lookup tables to convert an angle and scalar speed into X and Y velocity
0x291606,integrate_object_y_position,function,confirmed,Adds signed 8.8 Y velocity at offset 0x1C to the 24-bit Y position
0x291613,integrate_object_x_position,function,confirmed,Adds signed 8.8 X velocity at offset 0x1A to the 24-bit X position
0x399697,player_try_jump,function,confirmed,Tests newly pressed A or B and requests the jump state
0x399740,player_task_init,function,confirmed,Initializes the player task and its state machine at RAM 0x6708
0x3999F7,player_enter_idle,function,confirmed,Clears player velocity and enters the standing state
0x399A2B,player_state_idle,function,confirmed,Handles standing look crouch and transition to movement from controller input
0x399AF3,player_enter_crouch,function,confirmed,Selects the crouching animation and compact collision bounds then enters the crouch state
0x399B19,player_state_crouch,function,confirmed,Holds crouch while Down remains pressed and accepts A or B to start a spindash
0x399B5E,update_spindash_charge,function,confirmed,Decays the stored charge and adds 0x200 for each new A or B press up to 0x800
0x399B98,player_enter_spindash_charge,function,confirmed,Starts the spindash sound and animation then clears the stored charge
0x399BB7,player_state_spindash_charge,function,confirmed,Charges while Down is held and converts charge through a speed table on release
0x399EE5,player_enter_walk,function,confirmed,Initializes the walking state and animation
0x399EF2,player_state_walk,function,confirmed,Applies ground acceleration collision and animation while moving
0x399F3B,player_enter_roll,function,confirmed,Selects the shorter rolling collision bounds and enters rolling movement
